Country;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Lao People's Democratic Republic;1731198022.45494;1768619058.34647;1758176653.07746;2023324407.30316;2366398119.8821;2735558726.25625;3455031447.60194;4223152219.2439;5446434031.69042;5836138127.06562;7131773632.71369;8750107401.57872;10192848926.2582;11983252611.2727;13279248478.8161;14426381187.0894
Libya;38270206950.41;34110064452.1567;20481889763.7795;26265625000;33122307692.3077;47334148578.4164;60092950669.9147;68035403136.3852;86708074534.1615;60810211408.0574;75380170508.3675;48167374611.9915;92538004279.9398;75350633010.9303;57372445771.7699;48717854039.9653
Micronesia (Federated States of);233271800;240970900;242517200;245432900;240236000;250281900;253541900;256787200;263145100;280284600;296944100;311301600;327248700;317214400;319271200;316489900
Monaco;2647885848.5351;2718868306.01093;2968987019.23077;3601321064.55266;4137913500;4203084193.50827;4582988332.70606;5867916780.72817;6476490405.74191;5451653237.01028;5367625613.15127;6088808463.25167;5743029680.07195;6555983530.34932;7069616048.89066;6261622101.40908
Republic of Korea;576178114168.494;547658231279.87;627246081417.004;702717332012.991;793175007858.066;934901071332.984;1053216909887.56;1172614086539.86;1047339010225.25;943941876218.743;1144066965324.49;1253223044718.99;1278427634342.59;1370795199976.18;1484318219633.63;1465773245547.15
Republic of Moldova;1288429391.79951;1480673594.05602;1661818168.4226;1980907434.76826;2598249555.89984;2988348836.471;3408244549.19999;4401189466.14058;6054849884.52656;5439422031.39627;6974982392.67155;8414351671.95869;8709138764.75916;9496717702.44839;9510198961.57287;7745241912.94722
Saint Kitts and Nevis;421695769.843918;458643829.014199;481077373.669966;469869869.86987;506900000;547203703.703704;644414814.814815;689285185.185185;777691333.333333;774273111.111111;778718111.111111;836092407.407407;826231629.62963;875376407.407407;953174074.074074;957040740.740741
Saint Vincent and the Grenadines;427946037.037037;462072333.333333;487763851.851852;509090888.888889;549900185.185185;579948925.925926;643501148.148148;713596666.666667;732663259.259259;714300259.259259;720447888.888889;713796370.37037;730032592.592593;764781259.259259;770901444.444444;786554592.592593
Saint Lucia;932592592.592592;892592592.592592;900000000;987407407.407407;1066666666.66667;1135555555.55556;1268319185.18519;1336088814.81481;1437731111.11111;1401507888.88889;1486758037.03704;1576988407.40741;1605146777.77778;1664816740.74074;1749289302.71075;1807227215.4535
Syrian Arab Republic;80590022271.7149;86771314031.1804;90558485523.3853;95693808463.2517;112863340757.238;134203830734.967;153799910913.14;180030111358.575;218089977728.285;224561692650.334;252518218262.806;67539427670.9958;43190317724.7088;21361254647.9904;21502061462.2122;16468399180.3822
San Marino;1005159388.24397;1077413479.05282;1168269230.76923;1464326160.8154;1723750000;1785847531.40157;1908167105.75837;2185874623.59704;2393437820.41892;2056126701.86163;1881214370.93994;1813752783.96437;1604779647.95066;1678841811.66158;1673973694.69908;1419394771.21029
Slovakia;29242558796.5507;30778781606.9575;35297794385.6863;46919965224.1497;57437444469.087;62808723476.719;70767338922.4411;86563986799.2505;100879902984.983;89399303222.155;91162836320.3502;99922685424.8835;94623731085.6106;98935222174.8603;101437045019.901;88900883130.8374
Somalia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4577000000;5024999991.72061;5335000000
United Kingdom of Great Britain and Northern Ireland;1666126494174.61;1648658413703.76;1785843824940.05;2056612244897.96;2422958623214.94;2544805454545.45;2709911683532.66;3092821128451.38;2931501838235.29;2417638261411.43;2491397494467.95;2666403005061.42;2706340967030.68;2786315215249.95;3065223279583.79;2934857946213.47
United States of America;10250947997000;10581929774000;10929112955000;11456442041000;12217193198000;13039199193000;13815586948000;14474226905000;14769857911000;14478064934000;15048964444000;15599728123000;16253972230000;16843190993000;17550680174000;18206020741000
Venezuela (Bolivarian Republic of);117140723529.412;122903960204.505;92893587733.6549;83620628582.1082;112453382329.615;145510008134.75;183477522123.894;230364012575.687;315953388510.678;329787628928.471;393192354510.653;316482190800.364;381286237847.667;371005379786.566;482359318767.703;NA
